bedtime,wakeup_time,bedtime_minutes,wakeup_minutes,sleep_duration,caffeine_intake,exercise_duration,screen_time_before_bed,stress_level,mood,sleep_interruptions,sleep_quality
23:42,09:30,1422,570,10.3,None,36,110,3,Happy,No,Good
22:21,09:12,1341,552,10.32,Low,15,38,3,Neutral,No,Good
00:54,05:50,54,350,4.96,Low,40,101,3,Anxious,No,Average
22:08,05:52,1328,352,7.57,Low,10,116,5,Happy,No,Average
22:49,05:01,1369,301,5.66,Low,24,7,4,Happy,No,Average
01:09,09:55,69,595,8.96,Low,46,83,4,Neutral,No,Good
00:36,05:14,36,314,3.73,Low,53,93,5,Neutral,Yes,Poor
01:20,09:27,80,567,8.07,Low,25,118,2,Neutral,Yes,Average
01:12,08:46,72,526,7.55,Moderate,67,76,10,Neutral,No,Average
01:24,07:58,84,478,6.27,Low,22,105,4,Happy,No,Average
00:50,05:28,50,328,4.25,High,42,117,5,Happy,Yes,Poor
23:14,07:07,1394,427,7.84,None,21,123,3,Sad,No,Good
01:19,07:16,79,436,6.55,Low,13,34,5,Neutral,No,Average
01:05,05:51,65,351,4.43,Moderate,3,37,4,Happy,No,Poor
00:05,07:09,5,429,6.53,Low,10,68,1,Sad,No,Average
23:37,08:17,1417,497,8.68,Moderate,20,61,2,Neutral,Yes,Average
01:06,07:26,66,446,6.03,High,40,63,5,Sad,No,Average
00:38,09:57,38,597,9.78,Moderate,0,128,9,Happy,No,Average
00:19,05:36,19,336,5.27,Low,50,83,3,Sad,Yes,Average
23:52,06:43,1432,403,7.26,None,12,68,2,Neutral,No,Good
00:48,07:40,48,460,6.77,None,63,23,2,Neutral,No,Good
01:33,05:21,93,321,4.34,Low,24,60,7,Neutral,No,Average
01:16,07:26,76,446,6.73,None,29,69,5,Sad,Yes,Poor
23:32,08:00,1412,480,8.42,None,31,12,3,Happy,No,Good
22:17,09:40,1337,580,11.67,High,1,129,2,Happy,Yes,Average
00:16,09:58,16,598,9.44,Low,74,17,3,Neutral,No,Good
00:14,05:35,14,335,5.76,Moderate,35,68,2,Happy,No,Average
23:25,05:50,1405,350,6.36,Low,16,39,4,Happy,Yes,Average
22:53,06:40,1373,400,8.33,None,11,70,4,Neutral,No,Average
22:51,07:23,1371,443,8.3,Low,41,26,6,Neutral,No,Good
01:48,06:56,108,416,4.92,Low,8,42,4,Neutral,No,Average
23:08,09:37,1388,577,10.43,None,35,25,3,Happy,No,Good
01:09,08:23,69,503,7.27,Low,19,66,4,Neutral,No,Average
22:15,09:39,1335,579,11.72,Moderate,53,97,8,Happy,Yes,Average
00:50,06:40,50,400,6.29,Low,13,16,3,Happy,No,Good
01:34,06:29,94,389,4.66,None,18,30,6,Happy,No,Average
01:56,06:14,116,374,4.53,Moderate,9,31,5,Anxious,No,Poor
01:29,06:35,89,395,5.41,Moderate,24,137,3,Sad,No,Poor
22:16,06:01,1336,361,6.9,Low,39,53,4,Neutral,No,Good
23:08,06:38,1388,398,8.39,None,83,150,5,Anxious,No,Good
01:05,09:12,65,552,8.25,None,52,48,4,Happy,No,Good
23:48,07:24,1428,444,7.07,None,64,75,7,Neutral,Yes,Average
22:38,07:05,1358,425,8.33,Low,38,18,5,Anxious,No,Good
23:52,06:56,1432,416,7.58,High,54,64,2,Anxious,No,Good
01:52,05:13,112,313,3.36,Moderate,26,29,3,Happy,No,Average
00:15,08:05,15,485,7.43,Low,8,43,1,Happy,No,Good
01:31,08:39,91,519,6.84,None,26,92,6,Happy,Yes,Poor
23:48,05:04,1428,304,5.3,Moderate,22,25,7,Anxious,Yes,Poor
01:24,06:37,84,397,5.7,Moderate,34,100,6,Neutral,No,Poor
01:20,05:00,80,300,3.96,None,42,113,7,Neutral,No,Average
00:33,09:09,33,549,9.14,Low,34,117,6,Neutral,No,Good
22:46,08:26,1366,506,9.84,Moderate,60,71,6,Anxious,No,Average
23:21,09:45,1401,585,10.12,Moderate,20,158,3,Neutral,No,Average
22:28,07:17,1348,437,8.98,Low,49,79,4,Neutral,No,Good
01:54,05:42,114,342,3.73,None,39,13,3,Sad,No,Good
23:32,07:39,1412,459,7.66,None,18,33,2,Happy,No,Good
22:00,07:12,1320,432,8.68,Low,79,61,3,Sad,Yes,Good
23:00,05:25,1380,325,6.52,Low,30,58,4,Sad,No,Good
00:09,07:33,9,453,7.65,Low,5,63,7,Happy,No,Average
01:48,05:27,108,327,2.87,None,2,70,6,Neutral,No,Poor
23:48,07:25,1428,445,7.46,Low,18,139,3,Neutral,No,Good
01:45,08:48,105,528,6.69,Low,1,99,4,Happy,Yes,Poor
23:33,06:01,1413,361,6.63,Low,53,21,3,Neutral,No,Good
23:52,07:19,1432,439,7.15,Low,7,3,5,Neutral,No,Good
00:40,07:57,40,477,7.58,Low,45,9,9,Sad,No,Good
23:08,08:55,1388,535,9.7,High,26,34,2,Anxious,No,Good
22:59,09:26,1379,566,10.37,None,39,38,5,Neutral,Yes,Good
23:28,09:55,1408,595,11.49,Moderate,20,95,8,Neutral,No,Average
00:24,08:44,24,524,8.08,None,36,16,0,Sad,No,Good
22:14,06:50,1334,410,8.46,Moderate,86,35,5,Happy,No,Good
01:02,09:48,62,588,8.69,Moderate,21,101,7,Happy,No,Average
23:15,07:52,1395,472,8.64,Low,63,21,5,Happy,No,Good
23:13,05:37,1393,337,5.96,Low,49,70,6,Neutral,No,Average
01:59,07:12,119,432,4.94,None,41,154,7,Neutral,No,Average
22:39,09:56,1359,596,11.41,None,31,114,1,Happy,No,Good
00:59,06:56,59,416,6.27,Low,36,17,0,Anxious,No,Good
01:06,09:10,66,550,7.93,Low,50,52,6,Neutral,No,Good
01:32,05:48,92,348,3.6,None,2,60,4,Neutral,No,Average
01:34,08:30,94,510,6.36,Low,57,40,1,Sad,No,Good
01:39,06:52,99,412,5.7,None,21,74,3,Anxious,No,Average
01:21,07:41,81,461,6.19,None,53,123,5,Happy,No,Average
01:58,08:48,118,528,6.55,None,3,47,3,Sad,Yes,Average
01:54,07:44,114,464,5.52,Low,35,24,5,Happy,Yes,Average
22:28,08:07,1348,487,9.91,Low,36,110,3,Neutral,No,Good
22:19,09:20,1339,560,11.27,Low,20,83,4,Anxious,No,Average
01:43,08:28,103,508,6.87,Moderate,39,20,7,Happy,No,Average
01:57,05:03,117,303,3.7,Moderate,63,66,2,Neutral,No,Average
23:15,06:26,1395,386,6.99,Moderate,7,95,1,Neutral,No,Average
00:24,08:09,24,489,7.54,None,21,69,1,Neutral,No,Good
00:43,06:52,43,412,6.48,High,67,85,4,Happy,No,Average
22:35,08:58,1355,538,10.28,None,94,55,6,Happy,No,Good
22:16,07:08,1336,428,9.01,Low,28,95,3,Sad,No,Good
01:41,06:41,101,401,4.63,None,28,91,4,Sad,No,Poor
00:28,06:20,28,380,5.67,Moderate,56,56,1,Happy,Yes,Average
23:48,05:25,1428,325,5.91,None,2,112,4,Sad,Yes,Poor
00:25,06:42,25,402,6.52,None,18,7,7,Sad,No,Average
22:14,05:03,1334,303,6.79,Low,36,104,4,Anxious,No,Average
22:38,05:28,1358,328,7.08,Low,65,105,5,Anxious,No,Good
00:32,06:04,32,364,5.33,Low,4,7,0,Neutral,No,Average
22:36,06:00,1356,360,7.1,High,8,72,6,Anxious,Yes,Poor
01:18,05:51,78,351,4.37,Moderate,45,34,3,Anxious,Yes,Average
22:04,09:20,1324,560,10.97,Low,44,91,9,Happy,No,Good
23:21,06:01,1401,361,7.27,Moderate,26,116,1,Neutral,No,Average
01:45,07:49,105,469,5.93,Low,57,51,2,Neutral,No,Good
00:12,07:55,12,475,7.43,None,17,71,4,Neutral,No,Average
01:05,05:55,65,355,5.33,Moderate,80,67,7,Sad,No,Poor
22:58,05:58,1378,358,6.64,None,6,89,6,Happy,Yes,Poor
01:00,07:37,60,457,6.9,Low,38,92,0,Happy,No,Good
01:11,07:42,71,462,6.25,None,59,48,2,Sad,No,Good
00:27,09:01,27,541,8.58,Low,54,30,8,Neutral,No,Good
01:23,05:06,83,306,3.99,Low,46,57,7,Happy,Yes,Average
00:54,06:23,54,383,5.26,High,51,48,2,Anxious,No,Average
01:06,06:23,66,383,4.63,High,52,49,3,Happy,No,Average
22:11,09:33,1331,573,11.12,High,57,73,4,Sad,No,Average
00:53,05:49,53,349,5.4,None,61,84,2,Happy,No,Average
01:47,05:08,107,308,3.33,None,5,19,5,Sad,No,Average
01:24,08:28,84,508,6.42,Low,55,5,5,Happy,No,Good
23:27,05:40,1407,340,6.37,Low,1,86,8,Happy,No,Average
22:01,08:44,1321,524,10.5,None,25,23,4,Neutral,Yes,Average
01:45,06:45,105,405,4.91,None,53,150,5,Sad,No,Average
23:01,06:23,1381,383,7.59,None,32,107,4,Neutral,No,Good
23:45,05:13,1425,313,5.77,Moderate,17,8,3,Sad,No,Average
22:50,09:59,1370,599,11.8,None,1,88,3,Happy,No,Good
23:15,08:32,1395,512,9.54,Low,51,1,1,Anxious,No,Good
00:56,06:35,56,395,5.52,Low,67,142,5,Anxious,No,Average
00:04,09:27,4,567,9.62,Moderate,27,97,3,Neutral,No,Average
22:41,05:13,1361,313,6.75,None,26,113,0,Neutral,No,Average
00:02,05:27,2,327,5.64,Low,1,36,5,Anxious,No,Average
00:18,05:09,18,309,4.2,Moderate,8,38,7,Happy,No,Poor
00:00,06:46,0,406,7.22,Low,60,79,5,Neutral,Yes,Average
23:47,09:10,1427,550,9.16,None,48,62,5,Happy,No,Good
01:25,05:11,85,311,3.76,Moderate,41,109,0,Neutral,No,Average
23:23,07:30,1403,450,7.93,Low,14,155,4,Neutral,Yes,Average
01:37,06:53,97,413,5.47,Moderate,17,39,5,Sad,Yes,Poor
22:00,07:26,1320,446,10.06,Low,38,4,6,Anxious,No,Good
23:16,07:38,1396,458,8.35,Low,38,119,2,Sad,No,Good
01:52,09:38,112,578,8.13,None,25,60,2,Neutral,No,Good
22:59,06:32,1379,392,6.76,Low,22,142,6,Neutral,No,Average
22:02,06:24,1322,384,8.61,Low,4,22,6,Neutral,No,Good
23:09,05:20,1389,320,7.14,None,37,50,5,Happy,No,Good
01:59,05:51,119,351,4.07,Low,9,68,3,Anxious,Yes,Poor
23:33,09:22,1413,562,10.14,Low,43,29,5,Neutral,No,Good
22:35,06:23,1355,383,8.23,Low,33,38,4,Sad,Yes,Good
00:16,05:25,16,325,5.42,Low,2,2,3,Sad,No,Average
22:18,06:39,1338,399,8.78,None,9,167,2,Sad,Yes,Average
23:58,07:28,1438,448,7.84,Low,70,32,1,Neutral,No,Good
22:01,09:50,1321,590,12.55,Low,72,39,5,Happy,Yes,Good
23:48,05:35,1428,335,6.07,None,4,30,4,Neutral,No,Average
22:04,05:26,1324,326,7.08,Low,2,96,1,Happy,No,Good
23:41,08:28,1421,508,8.71,Low,32,18,4,Anxious,No,Good
22:46,08:27,1366,507,8.79,Moderate,29,79,2,Anxious,No,Average
01:31,09:07,91,547,7.74,Low,33,22,4,Sad,No,Good
22:15,05:37,1335,337,7.19,Low,8,0,4,Sad,No,Good
00:33,08:15,33,495,7.22,Low,65,61,0,Neutral,No,Good
00:52,09:50,52,590,9.48,Moderate,20,37,3,Happy,No,Good
00:42,08:25,42,505,8.04,Moderate,34,58,6,Neutral,No,Good
00:04,05:24,4,324,5.14,Low,9,61,4,Anxious,Yes,Poor
01:40,07:39,100,459,5.76,Low,2,49,7,Happy,Yes,Poor
00:38,05:55,38,355,4.74,None,10,31,6,Neutral,No,Average
23:40,08:40,1420,520,9.6,Low,87,8,4,Neutral,No,Good
22:13,08:48,1333,528,10.7,None,24,7,5,Neutral,No,Good
00:12,06:04,12,364,6.5,Low,17,53,3,Happy,No,Good
00:28,09:15,28,555,8.58,None,59,16,0,Neutral,No,Good
22:20,05:41,1340,341,7.07,Low,55,19,3,Sad,No,Good
01:07,08:51,67,531,8.33,Low,36,99,3,Neutral,No,Good
00:39,06:26,39,386,5.79,None,32,41,4,Happy,No,Average
00:12,07:27,12,447,7.23,Low,60,27,2,Happy,No,Good
23:33,05:07,1413,307,5.93,Low,11,2,3,Happy,No,Average
23:17,06:44,1397,404,8.03,None,66,149,5,Neutral,No,Good
22:14,09:32,1334,572,11.27,Low,19,88,4,Happy,No,Average
22:31,07:53,1351,473,9.18,Moderate,37,22,2,Anxious,No,Good
01:57,07:14,117,434,5.71,Low,10,146,5,Happy,No,Poor
00:59,09:42,59,582,8.81,None,5,28,6,Neutral,No,Good
22:22,05:29,1342,329,7.47,Moderate,52,53,2,Happy,No,Good
22:04,05:02,1324,302,7.3,None,71,79,2,Neutral,No,Good
00:43,06:25,43,385,5.88,Moderate,35,98,6,Sad,Yes,Poor
23:09,08:30,1389,510,9.84,Moderate,12,132,7,Happy,No,Average
22:03,08:07,1323,487,9.69,Low,93,66,3,Neutral,No,Good
22:23,07:41,1343,461,10.15,None,57,11,5,Sad,Yes,Good
23:56,08:11,1436,491,7.51,None,39,16,6,Neutral,No,Good
01:39,09:10,99,550,7.94,Low,41,5,1,Neutral,Yes,Good
00:03,06:14,3,374,6.23,High,4,85,2,Neutral,No,Average
01:17,05:50,77,350,4.84,Moderate,42,33,2,Happy,No,Average
01:50,09:54,110,594,6.53,Moderate,25,29,5,Neutral,No,Average
22:30,06:23,1350,383,8.02,None,27,49,2,Anxious,No,Good
23:19,08:01,1399,481,8.65,Low,24,68,4,Happy,No,Average
23:46,05:20,1426,320,4.93,Low,36,64,5,Happy,No,Average
00:07,07:21,7,441,7.41,None,1,6,9,Anxious,No,Good
01:08,07:40,68,460,6.27,Low,35,117,2,Sad,No,Good
00:48,06:25,48,385,6.07,None,53,48,6,Happy,No,Good
22:56,06:05,1376,365,7.63,Low,22,71,4,Sad,No,Average
22:31,09:36,1351,576,10.97,Moderate,6,12,4,Sad,Yes,Average
23:31,09:29,1411,569,9.55,High,28,23,4,Neutral,No,Average
00:59,09:38,59,578,8.85,Moderate,58,31,4,Sad,No,Good
23:24,06:11,1404,371,6.89,High,0,65,6,Happy,Yes,Poor
22:02,09:42,1322,582,11.82,None,19,74,6,Happy,No,Average
01:17,09:05,77,545,7.73,High,3,57,2,Anxious,Yes,Average
22:58,09:06,1378,546,10.59,None,10,33,1,Anxious,No,Good
22:08,07:13,1328,433,8.96,Low,25,125,4,Sad,No,Average
01:37,09:36,97,576,7.11,High,71,20,5,Neutral,No,Good
00:07,07:29,7,449,7.74,Moderate,17,74,2,Neutral,Yes,Average
23:26,07:07,1406,427,8.13,Low,55,9,3,Happy,No,Good
22:45,07:21,1365,441,8.59,Moderate,51,77,1,Happy,No,Good
01:09,05:34,69,334,4.19,Low,20,57,3,Happy,Yes,Average
00:29,06:22,29,382,6.25,High,55,162,5,Neutral,No,Average
23:59,07:43,1439,463,8.42,None,21,34,3,Neutral,No,Good
01:06,08:41,66,521,7.38,Moderate,21,99,5,Sad,No,Average
22:11,05:34,1331,334,8.3,Low,12,1,6,Happy,No,Good
01:20,05:34,80,334,4.99,Low,13,31,5,Sad,No,Average
01:51,05:20,111,320,4.18,Moderate,73,63,1,Happy,No,Average
00:52,06:06,52,366,5.4,Low,31,144,3,Happy,No,Average
22:11,09:21,1331,561,11.17,None,21,15,6,Happy,No,Good
01:49,05:48,109,348,4.22,Low,16,65,4,Happy,No,Poor
23:27,09:36,1407,576,10.39,Moderate,24,155,4,Anxious,No,Average
22:45,05:44,1365,344,6.15,Low,36,85,1,Sad,Yes,Average
01:16,05:07,76,307,4.3,None,43,41,5,Neutral,Yes,Average
00:43,06:21,43,381,5.52,Low,24,102,6,Neutral,No,Poor
01:21,09:25,81,565,7.56,None,30,44,3,Neutral,No,Good
23:32,07:45,1412,465,8.58,Low,9,54,6,Sad,No,Good
00:32,09:38,32,578,9.24,Low,21,64,2,Sad,No,Good
23:47,09:47,1427,587,10.14,High,15,25,0,Neutral,No,Good
00:40,07:46,40,466,7.23,Low,31,52,5,Neutral,No,Good
00:42,07:05,42,425,6.13,Moderate,60,65,7,Happy,No,Average
00:57,06:06,57,366,5.8,None,40,55,3,Happy,No,Good
22:58,07:04,1378,424,7.41,High,47,43,6,Anxious,No,Good
00:54,07:05,54,425,5.99,Low,7,0,4,Neutral,No,Average
23:25,05:41,1405,341,6.6,None,80,64,5,Neutral,No,Average
01:10,09:39,70,579,8.2,Moderate,44,14,6,Happy,No,Good
22:18,07:44,1338,464,9.29,Moderate,43,73,5,Neutral,No,Average
22:46,07:19,1366,439,8.06,Low,31,33,4,Anxious,Yes,Good
00:33,06:47,33,407,6.59,Low,6,17,5,Neutral,No,Average
01:28,07:58,88,478,6.23,Low,53,135,7,Sad,No,Average
23:12,06:55,1392,415,7.21,Low,52,99,4,Neutral,No,Good
01:23,08:13,83,493,7.43,Low,8,53,3,Neutral,No,Good
00:20,08:51,20,531,8.6,Moderate,24,16,2,Neutral,No,Good
23:14,06:11,1394,371,7.29,High,26,34,4,Happy,No,Average
01:53,07:23,113,443,5.09,Moderate,2,91,3,Happy,No,Poor
22:54,05:26,1374,326,6.88,Moderate,21,13,5,Happy,No,Average
22:18,09:40,1338,580,10.39,Low,13,69,2,Sad,Yes,Average
00:31,05:21,31,321,4.88,High,34,25,7,Happy,Yes,Poor
23:37,07:06,1417,426,7.27,Low,21,67,6,Happy,No,Average
23:04,06:46,1384,406,7.55,Low,17,73,4,Neutral,Yes,Average
23:51,05:55,1431,355,6.43,Low,65,106,6,Anxious,No,Average
22:16,09:40,1336,580,11.68,Moderate,22,38,4,Neutral,Yes,Average
22:27,05:40,1347,340,6.87,Low,22,76,0,Sad,No,Average
00:45,06:39,45,399,6.53,Low,70,78,2,Sad,No,Good
01:55,07:28,115,448,5.83,Low,55,85,4,Happy,No,Average
22:12,07:44,1332,464,10.05,None,32,17,6,Anxious,No,Good
22:28,07:50,1348,470,9.72,Low,8,24,2,Neutral,No,Good
00:44,07:13,44,433,6.14,Low,11,17,5,Neutral,No,Average
01:27,05:42,87,342,4.83,Moderate,42,157,5,Happy,No,Poor
22:58,07:11,1378,431,8.66,High,44,29,9,Happy,No,Good
22:03,06:29,1323,389,9.22,Low,66,76,5,Neutral,Yes,Average
22:24,09:26,1344,566,10.74,High,39,81,2,Sad,Yes,Average
23:41,08:35,1421,515,9.35,None,57,115,4,Happy,No,Good
00:40,08:45,40,525,8.33,Low,10,50,3,Sad,No,Good
01:21,08:42,81,522,6.81,None,41,78,4,Happy,No,Average
22:18,07:33,1338,453,9.19,Low,62,86,4,Anxious,No,Good
23:45,05:07,1425,307,5.33,None,67,48,5,Sad,No,Average
01:39,07:35,99,455,6.41,None,1,104,3,Sad,No,Average
23:40,07:34,1420,454,7.79,Low,21,27,5,Anxious,No,Good
23:32,09:00,1412,540,9.25,None,36,55,3,Happy,No,Good
00:52,06:55,52,415,6.07,Low,9,97,2,Neutral,No,Average
22:55,07:28,1375,448,9.11,Low,32,98,3,Anxious,Yes,Good
00:28,07:11,28,431,6.28,Low,48,21,4,Neutral,No,Good
01:46,08:14,106,494,6.22,Moderate,60,86,6,Happy,No,Average
23:48,06:08,1428,368,6.21,Low,13,66,7,Happy,No,Average
23:24,08:31,1404,511,8.97,Moderate,1,47,6,Happy,No,Average
22:24,06:51,1344,411,8.38,Low,66,26,3,Neutral,No,Good
01:06,07:41,66,461,6.73,High,65,19,6,Sad,No,Average
23:41,09:00,1421,540,10.59,Low,57,109,6,Neutral,No,Good
00:05,06:20,5,380,6.14,Low,18,96,6,Neutral,No,Average
23:20,09:30,1400,570,9.38,High,36,43,6,Happy,No,Good
00:36,07:47,36,467,7.3,Moderate,13,48,5,Sad,No,Average
01:23,06:19,83,379,4.59,Low,39,100,3,Neutral,No,Average
22:15,06:22,1335,382,8.1,None,47,1,3,Neutral,Yes,Good
22:04,05:56,1324,356,8.14,None,13,48,6,Happy,No,Good
00:46,09:48,46,588,8.91,Low,58,42,1,Sad,No,Good
22:28,09:39,1348,579,10.67,High,30,22,4,Sad,No,Good
00:48,08:38,48,518,7.36,Low,30,145,4,Neutral,No,Good
00:45,05:21,45,321,4.47,None,74,28,2,Neutral,No,Good
00:29,07:13,29,433,6.86,Moderate,1,18,6,Happy,No,Average
00:36,06:04,36,364,5.22,Low,6,131,4,Neutral,Yes,Poor
00:16,07:43,16,463,7.42,Moderate,66,92,2,Neutral,No,Good
00:57,09:03,57,543,8.24,Low,19,20,7,Neutral,No,Good
01:31,07:47,91,467,6.93,None,42,11,0,Happy,No,Good
22:15,06:33,1335,393,8.54,High,5,70,7,Sad,No,Average
00:58,08:28,58,508,7.75,Low,49,20,1,Sad,No,Good
22:55,08:06,1375,486,9.73,None,14,145,8,Anxious,No,Average
23:37,06:02,1417,362,6.05,None,14,61,0,Happy,No,Average
23:07,08:26,1387,506,9.43,None,48,52,4,Sad,Yes,Good
01:18,06:48,78,408,5.11,Moderate,61,153,0,Happy,No,Average
00:01,05:51,1,351,5.89,None,44,90,1,Happy,No,Average
23:52,08:32,1432,512,9.04,Low,55,74,4,Happy,No,Good
00:37,08:33,37,513,7.43,Low,10,133,0,Sad,Yes,Average
01:48,07:13,108,433,5.13,Low,54,10,0,Sad,Yes,Average
00:01,07:17,1,437,8.0,None,13,8,3,Happy,No,Good
00:05,07:31,5,451,7.4,Low,82,127,0,Neutral,No,Good
01:12,07:20,72,440,6.42,Low,36,14,3,Happy,No,Good
23:10,09:28,1390,568,10.21,None,24,74,5,Happy,No,Average
22:24,09:10,1344,550,11.41,Low,2,101,6,Sad,Yes,Average
23:47,06:57,1427,417,7.15,None,65,19,4,Neutral,Yes,Good
00:58,05:47,58,347,4.35,Moderate,33,119,4,Neutral,Yes,Poor
22:19,08:40,1339,520,10.09,None,45,2,1,Happy,No,Good
22:59,07:01,1379,421,8.18,Low,37,75,7,Happy,No,Good
22:47,07:15,1367,435,8.29,Low,25,126,2,Sad,No,Good
01:30,08:11,90,491,6.7,Low,1,20,3,Neutral,No,Good
23:29,09:51,1409,591,10.16,Moderate,59,22,1,Sad,No,Good
23:43,05:58,1423,358,6.12,Moderate,39,92,5,Neutral,No,Average
23:54,09:38,1434,578,10.49,Low,44,5,6,Anxious,No,Good
00:08,07:52,8,472,7.94,Low,55,84,4,Anxious,No,Good
23:40,08:23,1420,503,9.07,Low,17,31,1,Sad,Yes,Good
22:59,06:59,1379,419,8.21,Low,31,11,3,Neutral,No,Good
22:07,08:01,1327,481,10.92,Low,0,68,4,Sad,Yes,Average
01:01,09:50,61,590,8.98,Low,30,4,0,Neutral,No,Good
22:28,05:18,1348,318,6.67,Low,17,84,1,Anxious,Yes,Average
01:02,05:27,62,327,3.94,High,45,104,3,Neutral,No,Average
22:54,08:01,1374,481,9.26,None,25,158,4,Neutral,No,Average
01:21,06:03,81,363,4.82,None,32,33,5,Happy,No,Average
00:40,05:58,40,358,5.44,Moderate,42,62,5,Neutral,No,Poor
01:24,09:52,84,592,8.81,None,19,72,7,Happy,No,Average
01:28,07:07,88,427,5.62,Low,45,62,9,Anxious,No,Average
00:34,08:00,34,480,7.54,None,14,28,6,Neutral,Yes,Average
23:56,08:41,1436,521,9.21,Low,8,141,2,Sad,No,Good
01:57,05:10,117,310,3.36,None,13,58,6,Anxious,No,Average
23:11,09:55,1391,595,9.99,None,0,10,1,Happy,Yes,Good
22:25,06:25,1345,385,8.11,None,51,135,4,Sad,No,Good
00:31,06:51,31,411,5.94,Low,27,57,4,Sad,No,Average
01:45,09:24,105,564,7.25,Low,34,8,4,Neutral,No,Good
23:15,05:37,1395,337,6.15,Moderate,55,25,2,Neutral,No,Good
23:01,08:48,1381,528,10.36,Low,23,110,2,Happy,Yes,Average
22:52,08:41,1372,521,10.13,Low,59,70,6,Neutral,No,Good
23:01,08:04,1381,484,8.98,High,22,96,5,Happy,Yes,Poor
00:06,09:46,6,586,10.28,None,22,74,5,Neutral,No,Average
01:01,09:32,61,572,8.03,High,33,88,5,Neutral,No,Average
00:24,09:45,24,585,9.9,None,20,67,0,Neutral,Yes,Average
01:21,05:52,81,352,4.16,Moderate,8,44,4,Happy,No,Poor
23:04,06:46,1384,406,7.31,Moderate,61,76,3,Happy,No,Good
23:24,05:55,1404,355,6.27,None,32,124,3,Happy,No,Good
23:54,06:02,1434,362,6.39,Low,19,5,5,Happy,No,Average
22:36,09:03,1356,543,10.34,Low,54,111,2,Happy,No,Good
00:08,08:29,8,509,7.92,High,35,56,5,Happy,No,Good
23:50,08:03,1430,483,7.91,High,32,89,4,Neutral,No,Average
01:11,05:09,71,309,3.31,None,8,115,4,Happy,No,Poor
01:34,07:19,94,439,5.77,Low,9,29,3,Neutral,Yes,Average
01:33,09:53,93,593,8.03,None,33,98,7,Neutral,No,Good
23:09,06:52,1389,412,7.67,None,31,113,3,Neutral,Yes,Good
01:19,08:22,79,502,7.58,Low,32,8,4,Anxious,No,Good
23:12,05:58,1392,358,7.39,None,40,164,1,Anxious,Yes,Good
00:01,06:33,1,393,6.34,None,8,66,3,Neutral,No,Average
23:50,09:08,1430,548,8.87,Moderate,27,126,1,Sad,No,Average
